postcode,urban_code,grade
CF111ZY,C1,2
CF116AA,C1,3
CF116AB,C1,2
CF116AD,C1,3
CF116AE,C1,4
CF116AF,C1,2
CF116AG,C1,3
CF116AH,C1,3
CF116AJ,C1,3
CF116AL,C1,4
CF116AN,C1,2
CF116AP,C1,3
CF116AQ,C1,3
CF116AR,C1,2
CF116AS,C1,3
CF116AT,C1,3
CF116AU,C1,3
CF116AW,C1,3
CF116AX,C1,3
CF116AY,C1,3
CF116AZ,C1,3
CF116BB,C1,3
CF116BD,C1,3
CF116BF,C1,3
CF116BG,C1,1
CF116BH,C1,3
CF116BJ,C1,1
CF116BY,C1,4
CF116DA,C1,3
CF116DB,C1,2
CF116DD,C1,3
CF116DL,C1,3
CF116DP,C1,2
CF116DQ,C1,3
CF116DR,C1,3
CF116DS,C1,2
CF116DT,C1,2
CF116DU,C1,2
CF116DW,C1,2
CF116DX,C1,2
CF116DY,C1,3
CF116DZ,C1,2
CF116EA,C1,2
CF116EB,C1,3
CF116ED,C1,2
CF116EE,C1,3
CF116EF,C1,3
CF116EG,C1,3
CF116EH,C1,3
CF116EJ,C1,4
CF116EL,C1,4
CF116EN,C1,4
CF116EP,C1,4
CF116EQ,C1,4
CF116ER,C1,4
CF116ES,C1,4
CF116ET,C1,4
CF116EU,C1,4
CF116EW,C1,3
CF116EX,C1,4
CF116EY,C1,3
CF116EZ,C1,2
CF116FA,C1,3
CF116FR,C1,1
CF116FS,C1,1
CF116FW,C1,1
CF116FX,C1,2
CF116FY,C1,2
CF116FZ,C1,1
CF116HA,C1,4
CF116HE,C1,2
CF116HN,C1,2
CF116HP,C1,2
CF116HQ,C1,1
CF116HR,C1,2
CF116HS,C1,2
CF116HT,C1,2
CF116HU,C1,2
CF116HW,C1,4
CF116HX,C1,3
CF116HY,C1,3
CF116HZ,C1,4
CF116JA,C1,4
CF116JB,C1,3
CF116JD,C1,3
CF116JE,C1,3
CF116JF,C1,2
CF116JG,C1,2
CF116JH,C1,2
CF116JJ,C1,2
CF116JL,C1,4
CF116JN,C1,2
CF116JP,C1,2
CF116JQ,C1,2
CF116JR,C1,2
CF116JT,C1,2
CF116JU,C1,2
CF116JW,C1,1
CF116JX,C1,3
CF116JY,C1,3
CF116JZ,C1,3
CF116LA,C1,3
CF116LB,C1,3
CF116LD,C1,3
CF116LE,C1,3
CF116LF,C1,4
CF116LG,C1,3
CF116LH,C1,3
CF116LJ,C1,3
CF116LL,C1,3
CF116LN,C1,4
CF116LP,C1,3
CF116LQ,C1,4
CF116LR,C1,3
CF116LS,C1,4
CF116LT,C1,4
CF116LU,C1,4
CF116LW,C1,4
CF116LX,C1,3
CF116LY,C1,3
CF116NA,C1,1
CF116NB,C1,3
CF116NF,C1,2
CF116NG,C1,2
CF116NH,C1,2
CF116NJ,C1,1
CF116NL,C1,1
CF116NN,C1,1
CF116NP,C1,1
CF116NQ,C1,1
CF116NR,C1,2
CF116NS,C1,2
CF116NT,C1,1
CF116NU,C1,1
CF116NW,C1,1
CF116NX,C1,1
CF116NY,C1,2
CF116PA,C1,1
CF116PB,C1,1
CF116PD,C1,3
CF116PE,C1,2
CF116PF,C1,1
CF116PG,C1,2
CF116PH,C1,2
CF116PJ,C1,2
CF116PL,C1,3
CF116PN,C1,2
CF116PP,C1,2
CF116PQ,C1,2
CF116PR,C1,2
CF116PS,C1,2
CF116PT,C1,2
CF116PU,C1,2
CF116PW,C1,2
CF116PX,C1,2
CF116PY,C1,2
CF116PZ,C1,2
CF116QB,C1,2
CF116QE,C1,2
CF116QG,C1,3
CF116QH,C1,2
CF116QJ,C1,2
CF116QL,C1,3
CF116QN,C1,3
CF116QP,C1,3
CF116QQ,C1,3
CF116QR,C1,2
CF116QS,C1,1
CF116QT,C1,3
CF116QU,C1,3
CF116QW,C1,2
CF116QX,C1,2
CF116QY,C1,3
CF116QZ,C1,3
CF116RA,C1,2
CF116RB,C1,3
CF116RD,C1,3
CF116RE,C1,3
CF116RF,C1,3
CF116RG,C1,2
CF116RH,C1,2
CF116RJ,C1,3
CF116RL,C1,2
CF116RS,C1,3
CF116RT,C1,3
CF116RU,C1,2
CF116RW,C1,2
CF116RX,C1,1
CF116RY,C1,3
CF116RZ,C1,3
CF116SA,C1,3
CF116SB,C1,3
CF116SD,C1,3
CF116SE,C1,3
CF116SF,C1,4
CF116SG,C1,4
CF116SH,C1,3
CF116SJ,C1,3
CF116SL,C1,4
CF116SQ,C1,3
CF116SR,C1,2
CF116SS,C1,3
CF116ST,C1,4
CF116SU,C1,3
CF116SW,C1,3
CF116SX,C1,3
CF116SY,C1,3
CF116SZ,C1,3
CF116TA,C1,3
CF116TB,C1,3
CF116TD,C1,3
CF116TG,C1,2
CF116TH,C1,3
CF116TJ,C1,3
CF116TL,C1,3
CF116WN,C1,2
CF116WZ,C1,2
CF116YA,C1,1
CF116YT,C1,2
CF116YY,C1,2
CF117AA,C1,1
CF117AB,C1,1
CF117AD,C1,1
CF117AE,C1,1
CF117AF,C1,2
CF117AG,C1,2
CF117AH,C1,2
CF117AJ,C1,3
CF117AL,C1,3
CF117AN,C1,1
CF117AP,C1,1
CF117AQ,C1,1
CF117AR,C1,2
CF117AS,C1,3
CF117AT,C1,1
CF117AU,C1,1
CF117AW,C1,1
CF117AX,C1,2
CF117AY,C1,2
CF117AZ,C1,1
CF117BA,C1,1
CF117BB,C1,2
CF117BD,C1,1
CF117BE,C1,2
CF117BF,C1,5
CF117BG,C1,1
CF117BH,C1,2
CF117BJ,C1,2
CF117BL,C1,2
CF117BN,C1,5
CF117BP,C1,3
CF117BQ,C1,3
CF117BR,C1,3
CF117BT,C1,2
CF117BU,C1,1
CF117BW,C1,1
CF117BX,C1,2
CF117BY,C1,2
CF117BZ,C1,2
CF117DA,C1,1
CF117DB,C1,2
CF117DD,C1,2
CF117DE,C1,2
CF117DF,C1,2
CF117DG,C1,2
CF117DH,C1,2
CF117DJ,C1,2
CF117DL,C1,2
CF117DN,C1,2
CF117DQ,C1,2
CF117DR,C1,2
CF117DS,C1,3
CF117DT,C1,2
CF117DU,C1,2
CF117DW,C1,2
CF117DX,C1,2
CF117DY,C1,3
CF117DZ,C1,3
CF117EA,C1,3
CF117EB,C1,6
CF117ED,C1,2
CF117EE,C1,3
CF117EF,C1,4
CF117EG,C1,3
CF117EH,C1,4
CF117EJ,C1,2
CF117EL,C1,4
CF117EN,C1,3
CF117EP,C1,4
CF117EQ,C1,1
CF117ER,C1,1
CF117ET,C1,1
CF117EU,C1,1
CF117EW,C1,2
CF117EX,C1,5
CF117EY,C1,1
CF117EZ,C1,1
CF117FA,C1,5
CF117FD,C1,5
CF117FE,C1,5
CF117FF,C1,5
CF117GX,C1,5
CF117HA,C1,2
CF117HB,C1,3
CF117HD,C1,1
CF117HE,C1,2
CF117HF,C1,1
CF117HG,C1,2
CF117HH,C1,1
CF117HJ,C1,1
CF117HL,C1,1
CF117HN,C1,1
CF117HP,C1,1
CF117HQ,C1,2
CF117HR,C1,3
CF117HT,C1,1
CF117HU,C1,4
CF117HW,C1,4
CF117HX,C1,4
CF117HY,C1,4
CF117HZ,C1,4
CF117JA,C1,3
CF117JB,C1,1
CF117JD,C1,1
CF117JE,C1,1
CF117JF,C1,1
CF117JG,C1,2
CF117JJ,C1,5
CF117JL,C1,4
CF117JN,C1,4
CF117JP,C1,2
CF117JQ,C1,1
CF117JR,C1,3
CF117JS,C1,1
CF117JT,C1,5
CF117JU,C1,4
CF117JX,C1,1
CF117JY,C1,1
CF117JZ,C1,1
CF117LA,C1,1
CF117LB,C1,1
CF117LD,C1,1
CF117LE,C1,1
CF117LF,C1,1
CF117LG,C1,1
CF117LH,C1,1
CF117LJ,C1,1
CF117LL,C1,1
CF117LN,C1,1
CF117LP,C1,1
CF117LQ,C1,1
